[SUCCESS]  Airtable connection validated successfully
[SUCCESS]  Airtable connection validated successfully
[SUCCESS]  Airtable connection validated successfully
[SUCCESS]  Airtable connection validated successfully
[SUCCESS]  Airtable connection validated successfully
[SUCCESS]  Airtable connection validated successfully
INFO 2025-06-23 02:10:42,953 airtable_sync 18004 26900 [SUCCESS]  Airtable connection validated successfully
INFO 2025-06-23 02:10:50,027 airtable_sync 18004 26900 [SUCCESS] Synced SKU mapping 21854691 to Airtable
INFO 2025-06-23 02:10:50,046 airtable_sync 18004 26900 [SUCCESS] Updated SKU mapping 21854691 from Airtable
INFO 2025-06-23 02:10:57,404 airtable_sync 18004 26900 [SUCCESS] Synced SKU mapping 1713595565_7 to Airtable
INFO 2025-06-23 02:10:57,414 airtable_sync 18004 26900 [SUCCESS] Updated SKU mapping 1713595565_7 from Airtable
INFO 2025-06-23 02:10:59,726 airtable_sync 18004 26900 [SUCCESS] Synced SKU mapping 1730263290_10 to Airtable
INFO 2025-06-23 02:10:59,733 airtable_sync 18004 26900 [SUCCESS] Updated SKU mapping 1730263290_10 from Airtable
INFO 2025-06-23 02:11:02,342 airtable_sync 18004 26900 [SUCCESS] Synced SKU mapping 1E-TWV2-4FQF to Airtable
INFO 2025-06-23 02:11:02,370 airtable_sync 18004 26900 [SUCCESS] Updated SKU mapping 1E-TWV2-4FQF from Airtable
INFO 2025-06-23 02:11:04,745 airtable_sync 18004 26900 [SUCCESS] Synced SKU mapping 21544779 to Airtable
INFO 2025-06-23 02:11:04,751 airtable_sync 18004 26900 [SUCCESS] Updated SKU mapping 21544779 from Airtable
INFO 2025-06-23 02:11:08,034 airtable_sync 18004 26900 [SUCCESS] Synced combo product CSTE_O0446_OT_Glue_Sand_Rubber_Pig to Airtable
INFO 2025-06-23 02:11:08,045 airtable_sync 18004 26900 [SUCCESS] Updated combo product CSTE_O0446_OT_Glue_Sand_Rubber_Pig from Airtable
INFO 2025-06-23 02:11:10,336 airtable_sync 18004 26900 [SUCCESS] Synced combo product CSTE_0358_Wands_Dumbledore_light_Sg to Airtable
INFO 2025-06-23 02:11:10,346 airtable_sync 18004 26900 [SUCCESS] Updated combo product CSTE_0358_Wands_Dumbledore_light_Sg from Airtable
INFO 2025-06-23 02:11:12,520 airtable_sync 18004 26900 [SUCCESS] Synced combo product Caaju_Compression_Travelkit_Blue to Airtable
INFO 2025-06-23 02:11:12,529 airtable_sync 18004 26900 [SUCCESS] Updated combo product Caaju_Compression_Travelkit_Blue from Airtable
INFO 2025-06-23 02:11:14,671 airtable_sync 18004 26900 [SUCCESS] Synced combo product CSTE_O0443_OT_Squeeze_Yellow to Airtable
INFO 2025-06-23 02:11:14,680 airtable_sync 18004 26900 [SUCCESS] Updated combo product CSTE_O0443_OT_Squeeze_Yellow from Airtable
INFO 2025-06-23 02:11:17,100 airtable_sync 18004 26900 [SUCCESS] Synced combo product CSTE_0481_ST_Animal_Cow_Plush_Cloths to Airtable
INFO 2025-06-23 02:11:17,110 airtable_sync 18004 26900 [SUCCESS] Updated combo product CSTE_0481_ST_Animal_Cow_Plush_Cloths from Airtable
INFO 2025-06-23 02:11:17,110 airtable_sync 18004 26900 [SUCCESS] Sync from Airtable complete: {'created': 0, 'updated': 15, 'errors': 0}
INFO 2025-06-23 02:11:17,111 sync_from_airtable 18004 26900 Airtable sync completed: {'created': 0, 'updated': 15, 'errors': 0}
INFO 2025-06-23 02:12:42,249 airtable_sync 7944 15256 [SUCCESS]  Airtable connection validated successfully
INFO 2025-06-23 02:12:54,785 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 21854691 to Airtable
INFO 2025-06-23 02:12:54,792 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 21854691 from Airtable
INFO 2025-06-23 02:12:57,050 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1713595565_7 to Airtable
INFO 2025-06-23 02:12:57,057 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1713595565_7 from Airtable
INFO 2025-06-23 02:12:59,435 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1730263290_10 to Airtable
INFO 2025-06-23 02:12:59,464 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1730263290_10 from Airtable
INFO 2025-06-23 02:13:01,860 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1E-TWV2-4FQF to Airtable
INFO 2025-06-23 02:13:01,889 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1E-TWV2-4FQF from Airtable
INFO 2025-06-23 02:13:04,468 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 21544779 to Airtable
INFO 2025-06-23 02:13:04,511 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 21544779 from Airtable
INFO 2025-06-23 02:13:06,899 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 14646645 to Airtable
INFO 2025-06-23 02:13:06,928 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 14646645 from Airtable
INFO 2025-06-23 02:13:09,494 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1360333923_21 to Airtable
INFO 2025-06-23 02:13:09,523 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1360333923_21 from Airtable
INFO 2025-06-23 02:13:12,146 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 17*17_PillowCover_White_fba to Airtable
INFO 2025-06-23 02:13:12,156 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 17*17_PillowCover_White_fba from Airtable
INFO 2025-06-23 02:13:14,358 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1871815601_22 to Airtable
INFO 2025-06-23 02:13:14,386 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1871815601_22 from Airtable
INFO 2025-06-23 02:13:16,787 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1003264078_18 to Airtable
INFO 2025-06-23 02:13:16,817 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1003264078_18 from Airtable
INFO 2025-06-23 02:13:18,835 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 21305790 to Airtable
INFO 2025-06-23 02:13:18,847 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 21305790 from Airtable
INFO 2025-06-23 02:13:21,469 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 17*17_PillowCover_Combo to Airtable
INFO 2025-06-23 02:13:21,482 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 17*17_PillowCover_Combo from Airtable
INFO 2025-06-23 02:13:23,858 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1143810604_4 to Airtable
INFO 2025-06-23 02:13:23,875 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1143810604_4 from Airtable
INFO 2025-06-23 02:13:26,336 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 23589657 to Airtable
INFO 2025-06-23 02:13:26,366 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 23589657 from Airtable
INFO 2025-06-23 02:13:28,670 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 21305786 to Airtable
INFO 2025-06-23 02:13:28,703 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 21305786 from Airtable
INFO 2025-06-23 02:13:31,029 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1644333045_8 to Airtable
